BottleName,Price,Description,Link
"Boekenhoutskloof 'The Chocolate Block' 2019/20, Western Cape","

£18.69                        ","A cult favourite – it usually sells out before it even hits the shop floor. A plush, smooth and supple blend that's tweaked every year.","/wines/the-chocolate-block-20245,/wines/the-chocolate-block-20245,/wines/the-chocolate-block-20245#reviews"
Marqués de Riscal Rioja Reserva 2016/17,"

£12.99                        ",Summer berries. Vanilla. Spain’s favourite Reserva from the name that made Rioja what it is today.,"/wines/rioja-reserva-14210,/wines/rioja-reserva-14210,/wines/rioja-reserva-14210#reviews"
"Mt Difficulty 'Roaring Meg' Pinot Noir 2019/20, Central Otago","

£16.99                        ","Raspberries. Cherries. A hint of spice. This is savoury, red-fruity Pinot made with fruit from the oldest Pinot vineyards in Otago. Made to drink young.","/wines/roaring-meg-pinot-noir-37179,/wines/roaring-meg-pinot-noir-37179,/wines/roaring-meg-pinot-noir-37179#reviews"
"Marcelo Pelleriti Malbec 2020, Mendoza","

£8.99                        ","Plush, plummy Malbec from the first Latin American winemaker to ever score 100 Parker points. We’re lucky enough to have the UK exclusive.","/wines/marcelo-pelleriti-malbec-40164,/wines/marcelo-pelleriti-malbec-40164,/wines/marcelo-pelleriti-malbec-40164#reviews"
"The Guv'nor, Spain","

£6.99                        ",Spain’s wine laws are notoriously strict. The Guv'nor breaks them all. This multi-regional blend offers great value and great flavour. Bold. Fruity. Brilliant.,"/wines/the-guvnor-14666,/wines/the-guvnor-14666,/wines/the-guvnor-14666#reviews"
"LB7 Red 2019, Lisbon","

£5.99                        ","Portuguese red blends are a Majestic speciality, and we’ve stepped up our game with this exclusive bottling. It’s big. It’s bold. It’s fruity. You’ll love it.","/wines/lb7-lisboa-red-15044,/wines/lb7-lisboa-red-15044,/wines/lb7-lisboa-red-15044#reviews"
"Barista Pinotage 2020/21, Western Cape","

£7.49                        ","An intense nose coffee, chocolate and cherry from South Africa's star grape. A real customer favourite.","/wines/barista-pinotage-20252,/wines/barista-pinotage-20252,/wines/barista-pinotage-20252#reviews"
"Capaia One 2018, New Philadelphia","

£10.99                        ","Expect intense flavours of blackberry, black plum and mocha. Its firm tannins pair perfectly with roast venison and hearty game dishes.  ","/wines/capaia-one-20307,/wines/capaia-one-20307,/wines/capaia-one-20307#reviews"
"Wynns Coonawarra Estate Shiraz 2019/20, Coonawarra","

£9.99                        ","Notes of blackberry, black pepper and oak. Try it with dumplings and a spiced yoghurt dressing. ","/wines/wynns-coonawarra-estate-shiraz-59225,/wines/wynns-coonawarra-estate-shiraz-59225,/wines/wynns-coonawarra-estate-shiraz-59225#reviews"
"Kanonkop 'Kadette' Pinotage 2018/19, Stellenbosch","

£10.99                        ","Made in a soft, fruit-forward style, this Pinotage spends 12 months in French oak barrels to give a silky-smooth texture. It's a complex wine, with notes of raspberry, strawberry, red cherry and chocolate. Try it with a hearty beef burger.","/wines/kanonkop-kadette-pinotage-20318,/wines/kanonkop-kadette-pinotage-20318,/wines/kanonkop-kadette-pinotage-20318#reviews"
"Rustenberg 'John X Merriman' 2019, Stellenbosch","

£13.49                        ","Intense blackberry, mint and spice. Made by one of Stellenbosch's most exciting winemakers.","/wines/rustenberg-john-x-merriman-20215,/wines/rustenberg-john-x-merriman-20215,/wines/rustenberg-john-x-merriman-20215#reviews"
"Primo Rosso Appassimento 2020, Puglia","

£8.99                        ",Big. Rich. Velvety. It’s a hug in a glass – and the very first wine ever to be made appassimento-style using Primitivo. Delicious.,"/wines/primo-appassimento-13582,/wines/primo-appassimento-13582,/wines/primo-appassimento-13582#reviews"
Château Méaume 2017/18 Bordeaux Supérieur,"

£9.99                        ",It’s a Majestic classic – one of our favourite clarets. Plummy. Black fruity. Silky. Not to mention Château Méaume are sustainability pioneers.,"/wines/ch-meaume-01020,/wines/ch-meaume-01020,/wines/ch-meaume-01020#reviews"
"Gabb Family Malbec 2019, Stellenbosch","

£8.99                        ",The palate shows richness and roundness with flavours of black cherries and plums.,"/wines/gabb-family-malbec-20412,/wines/gabb-family-malbec-20412,/wines/gabb-family-malbec-20412#reviews"
"Nero Oro Appassimento 2020, Sicily","

£7.99                        ",This appassimento Nero d’Avola is a world first. Combining Sicily’s signature red with a centuries-old winemaking method turns the flavour dial way up.,"/wines/nero-oro-appassimento-13476,/wines/nero-oro-appassimento-13476,/wines/nero-oro-appassimento-13476#reviews"
"Winemaker Series The Red, 2018/19 Swartland","

£8.99                        ","It's rich and full-bodied, with flavours of red fruits, sweet spices and pepper. Try it with a vegetable chilli.","/wines/winemaker-series-swartland-red-20330,/wines/winemaker-series-swartland-red-20330,/wines/winemaker-series-swartland-red-20330#reviews"
"David Finlayson Cabernet Sauvignon 2019/20, Stellenbosch","

£13.99                        ","David Finlayson earned his stripes at Château Margaux, one of the very best estates in Bordeaux.","/wines/david-finlayson-cabernet-sauvignon-20405,/wines/david-finlayson-cabernet-sauvignon-20405,/wines/david-finlayson-cabernet-sauvignon-20405#reviews"
Beronia Rioja Crianza 2018,"

£10.99                        ","Flavours of blackberry, red fruits and vanilla that are great with Iberian cold cuts.   ","/wines/beronia-crianza-14638,/wines/beronia-crianza-14638,/wines/beronia-crianza-14638#reviews"
Domini Veneti 'La Casetta' Valpolicella Ripasso Superiore 2017/18,"

£14.99                        ","Valpolicella Ripasso – with a difference. Made using leftover skins from sweet Recioto production, it’s even plusher than standard Ripasso.","/wines/valpolicella-superiore-ripasso-13050,/wines/valpolicella-superiore-ripasso-13050,/wines/valpolicella-superiore-ripasso-13050#reviews"
"Copper Kingdom Shiraz 2017, Barossa","

£9.99                        ","Barossa Shiraz is Australia in a glass. Powerful. Flavour-packed. Full-bodied. And thanks to our buyers, this one's an absolute steal for the quality.","/wines/copper-kingdom-barossa-shiraz-59094,/wines/copper-kingdom-barossa-shiraz-59094,/wines/copper-kingdom-barossa-shiraz-59094#reviews"
"Penfolds 'Max's' Shiraz-Cabernet Sauvignon 2019, Australia","

£14.99                        ","Big. Bold. Savoury. Packed with blueberry and cassis flavours – it’s an homage to Max Schubert, the man responsible for the iconic Penfold’s Grange.","/wines/penfolds-maxs-shiraz-cabernet-sauvignon-59110,/wines/penfolds-maxs-shiraz-cabernet-sauvignon-59110,/wines/penfolds-maxs-shiraz-cabernet-sauvignon-59110#reviews"
Villa Antinori Chianti Classico Riserva 2016/17,"

£24.99                        ","A Tuscan classic with a Riserva depth. Notes of bramble fruit and blueberry, grounded by a remarkable structure.","/wines/chianti-classico-riserva-13175,/wines/chianti-classico-riserva-13175,/wines/chianti-classico-riserva-13175#reviews"
Surani Costarossa 2019/20 Primitivo di Manduria,"

£9.99                        ","Intense. Velvety. Ripe. The grapes are left to over-ripen on the vine, giving the flavours unbelievable concentration. Red-fruity with moreish spice.","/wines/surani-costarossa-13073,/wines/surani-costarossa-13073,/wines/surani-costarossa-13073#reviews"
"Nero Oro Riserva 2017/18, Sicily","

£11.99                        ","Nero d’Avola was harvested in Sicily by the Ancient Greeks. They were really on to something. It’s a plush, damson and fig flavoured beast of a wine.","/wines/nero-oro-riserva-13912,/wines/nero-oro-riserva-13912,/wines/nero-oro-riserva-13912#reviews"
"Saint-Émilion Grand Cru 2016 Baron de Boutisse, Bordeaux","

£15.99                        ",Intense flavours of vanilla and dark fruits that are best with roast beef.,"/wines/baron-de-boutisse-st-emilion-61221,/wines/baron-de-boutisse-st-emilion-61221,/wines/baron-de-boutisse-st-emilion-61221#reviews"
"Stag's Leap 'Hands of Time' Red Blend 2017/18, Napa Valley","

£22.99                        ",Your chance to taste Stag Leap's world-famous red wine at a smaller sum. ,"/wines/stags-leap-hands-of-time-red-18770,/wines/stags-leap-hands-of-time-red-18770,/wines/stags-leap-hands-of-time-red-18770#reviews"
